Gene_names	Protein_names	Uniprot_IDs	logFC_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Ratio_H_L_count_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Intensity_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Intensity_Mix_CTRL IgM Immunoisolation	PEP
DCTN2	Dynactin subunit 2	F5H2S7;Q53H88;Q13561;F5H223;F8WAG8;A8K8J9;H0YI98;B3KTX4;F8W1I6;F8VW18;F8VX93;F8VRV7	-0.053	6	7.778	7.188	0
PRIM2;PRIM2A	DNA primase large subunit	P49643;Q5JU42;A8K7A0	0.724	2	7.287	7.186	0
METAP2	Methionine aminopeptidase 2;Methionine aminopeptid	P50579;F8VQZ7;B4DUX5;G3XA91;Q8NB11;F8VRR3;Q96B43;B3KWL6;G3V1U3	-0.837	3	7.728	7.182	0
SNRPC	U1 small nuclear ribonucleoprotein C	P09234;Q53G33;Q5TAL4	0.063	2	7.563	7.18	0
RPL7L1	60S ribosomal protein L7-like 1	Q6DKI1;B7Z652;B7Z4G0	0.519	2	7.478	7.173	0
NOL9	Polynucleotide 5-hydroxyl-kinase NOL9	Q5SY16	0.448	4	7.694	7.173	0
BASP1	Brain acid soluble protein 1	P80723	-1.174	2	7.619	7.171	0
RPN2	Dolichyl-diphosphooligosaccharide--protein glycosy	B2RE46;P04844;B4DJL0;H7BXZ4;Q5JYR7;Q5JYR4;H0Y5M1;Q5JYR2	-0.554	3	7.491	7.168	0
ATXN2L	Ataxin-2-like protein	Q8WWM7;H3BUF6;Q63ZY4;A8K1R6;C9JXV8;H3BSK9;H3BUE3;H3BSQ5;H3BRB0	0.592	3	7.302	7.166	0
TUBG1;TUBG2	Tubulin gamma-1 chain;Tubulin gamma-2 chain	P23258;Q9NRH3	0.382	5	7.568	7.162	0
ACSL4;FACL4	Long-chain-fatty-acid--CoA ligase 4	O60488;Q5JWV8;Q8TAF6;B4DH39;D6RF95;H0Y9A0;D6RD96;D6RDA8;D6RFW9	-0.117	16	8.584	7.162	0
RPN1	Dolichyl-diphosphooligosaccharide--protein glycosy	P04843;Q53EP4;Q6IBR0;F5H6I5;B4DL99;Q96HX3;B7Z4L4;B4DNJ5;F8WF32	-0.364	10	8.134	7.161	0
PELP1	"Proline-, glutamic acid- and leucine-rich protein "	B4DR36;I3L3A8;A8K548;Q8IZL8;B4DEX7;E7EV54;C9JFV4;F8WDZ1;O15451;I3L445;I3L4P1	-0.152	6	7.527	7.155	0
PSMD14	26S proteasome non-ATPase regulatory subunit 14	O00487;Q59G89;Q53TH1;Q4ZG77;Q96DE8	0.126	1	7.631	7.154	0
EXOSC2	Exosome complex component RRP4	Q13868;A3KFL5;A3KFL4;A3KFL2;B4DKK6;A3KFL1;B3KQW2;B4E001;A2VCR1	0.049	4	7.68	7.143	0
EIF4E	Eukaryotic translation initiation factor 4E	D6RBW1;P06730;Q32Q75;H0Y8J7;B7Z2T1;A6NMX2;H0Y8X3;D6RHE2	-0.211	6	8.384	7.138	0
KATNAL2	Katanin p60 ATPase-containing subunit A-like 2	Q8IYT4;F8WBL0	-0.271	2	7.333	7.136	0
OK/KNS-cl.6		Q8NI62	0.437	1	7.609	7.132	0
ANGEL1	Protein angel homolog 1	Q9UNK9;G3V414;B4DVG4	-0.06	5	7.864	7.129	0
DHX16	Putative pre-mRNA-splicing factor ATP-dependent RN	O60231;Q5SQH4;B0V0F8;B4DZ28;F8VPA4;Q6PKC8;Q5JP46;Q5SQH5;Q9P186	0.263	3	7.268	7.125	0
SDAD1	Protein SDA1 homolog	Q9NVU7;B4DT66;E7EW05	0.312	2	7.159	7.124	0
NAA15;NARG1	"N-alpha-acetyltransferase 15, NatA auxiliary subun"	B2RBE5;Q9BXJ9;B4E2T6;F5H5A7;Q58F05;A4FU51;Q6N069	-0.089	3	7.257	7.124	0
CAPZA1	F-actin-capping protein subunit alpha-1	A8K0T9;P52907;A4D0V4;P47755;Q53GC7;Q53GE2;F8W9N7;B4DG50;C9JUG7	-0.238	2	7.561	7.123	0
PRKCSH	Glucosidase 2 subunit beta	B4DJQ5;P14314;A2VCQ4	-0.382	5	7.901	7.122	0
UBAP2L	Ubiquitin-associated protein 2-like	Q14157;B4DYY5;F8W726;B4DZJ6;F5GY23;C9JD99;H7C2T8;H0Y5H6;Q5VU85;Q5VU77;Q5VU78;Q5VU79;Q5VU80;Q5VU81	1.003	7	7.806	7.119	0
SAP18	Histone deacetylase complex subunit SAP18	O00422;H7BZW6	0.003	2	7.577	7.119	0.00015
SRSF10;FUSIP1;SRSF12	Serine/arginine-rich splicing factor 10;Serine/arg	O75494;Q53GD7;Q5JRI3;Q5JRI1;Q8WXF0	0.462	2	7.809	7.115	0
COPB2	Coatomer subunit beta	P35606;B4DZI8;B4E2C9;D6R997;D6RBT6;D6RBG7;D6RCL6;D6RBZ7	-0.004	6	7.558	7.113	0
DHX36	Probable ATP-dependent RNA helicase DHX36	Q9H2U1;F5GZS0;B7Z8P5;E7EWK3	0.295	3	7.167	7.105	0
EEF1A2	Elongation factor 1-alpha 2	Q05639;Q59GP5	0.042	6	7.934	7.098	0
		B4E3B6;E7EP11;B4DNV4	0.021	4	8.108	7.098	0
PRPF31	U4/U6 small nuclear ribonucleoprotein Prp31	F1T0A5;Q8WWY3;E7EVX8;F1T0A4;B4DWW8;E7ESA8;E7EN72;E7ESX0;E7EU94	0.43	4	7.71	7.094	0
MDH1	"Malate dehydrogenase;Malate dehydrogenase, cytopla"	B7Z3I7;F5H098;P40925;B9A041;B8ZZ51;C9JF79;C9JRL4	-0.253	3	7.802	7.089	0
CDC42BPB	Serine/threonine-protein kinase MRCK beta	A9JR72;Q9Y5S2;Q5VT25;B9EGA7;F5H5N0;Q8IWQ7;Q59FU6;H0YLY0;G5E982;E5KR08;E5KR06;Q09013;E5KR05;E5KR07;E9PBC4;B4DM55;B4DZE2;Q86TR8;Q86XZ8;H0YLR5	0.429	3	7.194	7.088	0
PTBP2	Polypyrimidine tract-binding protein 2	B4DSS8;B4DSU5;Q9UKA9;B4DSI2	0.433	1	7.156	7.086	0.00121
DYNC1LI1;DKFZp686A1525	Cytoplasmic dynein 1 light intermediate chain 1	Q9Y6G9;Q6MZE7;B4DDM4;E9PHI6;B3KM42	-1.898	1	7.346	7.079	0
PSME2	Proteasome activator complex subunit 2	Q2TNB3;Q86SZ7;Q9UL46;H0YM70;Q6FHK9	0.533	2	7.464	7.071	1.00E-05
EHD4	EH domain-containing protein 4	A8K9B9;Q9H223	0.164	2	7.326	7.062	0.00051
VAC14	Protein VAC14 homolog	Q08AM6;B4DMP4;Q9NW56;H3BQD9;B3KSM8;H3BUU8;Q9NTB8;REV__Q5W0A0;H3BN23	-0.209	19	8.735	7.062	0
LANCL1	LanC-like protein 1	B2R602;O43813;Q53TN2;Q6FHH6;E9PHS0;B4DGM7;F8WDS9	-0.033	1	7.237	7.058	0
AGTRAP	Type-1 angiotensin II receptor-associated protein	D7RF68;Q6RW13;A8K1X7;D6RBK6;D6RB40	-0.497	3	8.213	7.05	0
RPL38	60S ribosomal protein L38	P63173	0.207	3	7.63	7.047	0
SRRM1	Serine/arginine repetitive matrix protein 1	B7Z7U0;E9PCT1;A9Z1X7;Q8IYB3;B4DED5	0.495	4	7.503	7.046	0
YWHAB	14-3-3 protein beta/alpha;14-3-3 protein beta/alph	B5BU24;P31946;Q59EQ2;Q4VY19;Q4VY20	-0.114	2	7.481	7.045	0
RAB10	Ras-related protein Rab-10	P61026;Q53T70;Q53SX4	-0.09	4	8.258	7.043	0
RPS27L;LOC392748	40S ribosomal protein S27;40S ribosomal protein S2	H0YMV8;Q71UM5;A4D1G5;C9JLI6;C9J1C5	-0.886	1	7.534	7.041	0
RBBP4;RBBP7	Histone-binding protein RBBP4;Histone-binding prot	Q09028;Q16576;Q6FHQ0;Q5JNZ9;E9PC52;B0R0W4;H0YF10;A8K6A2;Q5JP01;H0YDK2;H0YCT5;Q5JP02;B4DRT0;H0YEU5;C9J959	-0.108	2	7.398	7.031	0
ARCN1;DKFZp686M09245	Coatomer subunit delta	B0YIW6;Q6MZV5;B0YIW5;P48444;B4E1X2;E9PEU4;Q6P1Q5;E9PK34	-0.02	4	7.556	7.023	0
MAN1A1	"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA"	P33908;Q6P052	-0.817	3	7.801	7.023	0
SLC16A1	Monocarboxylate transporter 1	P53985;B4DKS0;B2R6A5;Q5T8R5;Q49A45;Q5T8R3	-0.412	7	8.201	7.022	0
POLR2H	"DNA-directed RNA polymerases I, II, and III subuni"	C9JCU7;P52434;C9JLU1;C9JBJ6	0.388	1	7.126	7.019	0
DNAJC13	DnaJ homolog subfamily C member 13	A7E2Y5;O75165;B3KN02;F5GX04;H0Y8Q2;Q0D2M7;H0YA63;Q8N7A5	-0.104	68	8.879	7.019	0
RAB8A	Ras-related protein Rab-8A	P61006;B4DEK7;Q92930;B4DMS1;F5GY21;H0YNE9;H0YMN7;B3KTE3;Q59EP4;H0YL94;H0YLJ8;G5EMR8;P59190;G5EMR7;G5ELZ5;G5ELZ6	-0.003	4	8.167	7.016	0
STIP1	Stress-induced-phosphoprotein 1	G3XAD8;A8K690;P31948;Q3ZCU9;F5H0T1;B4DM70;F5H783;H0YGI8;F5GXD8	-0.304	6	7.974	7.015	0
ATP6V0A1;DKFZp686N0561	V-type proton ATPase 116 kDa subunit a isoform 1	F5H569;Q93050;Q53X12;Q5CZH6;Q53ET5;B7Z2A9;B7Z641;B7Z2J9;F5H1T6;Q6AHY6;Q9HBG4;Q13488;Q96N91;F5GX48;F5H847	-0.614	18	8.628	7.012	0
SKP1	S-phase kinase-associated protein 1	E5RJR5;P63208;F8W8N3;E7ERH2;P78561;E5RGM3	0.241	2	7.538	7.011	0
XPO5	Exportin-5	A8K5Y7;Q9HAV4;B3KPQ5;C9J4N8;E7EQK9;E7EQN7;Q5JTE8;Q5JTE7;B3KNC6;Q9H8N6;H0Y3W3;Q5JTF0;Q5JTF1;H0Y9I3;H0YA57;H0Y3Q8	-0.147	5	7.467	7.011	0
MAN1B1;DKFZp434I213	"Endoplasmic reticulum mannosyl-oligosaccharide 1,2"	H0YG20;Q9UKM7;B4DR05;H0YGV7;B3KQC5;B3KXZ1;Q5VSF2;Q9UFZ8	-0.179	2	7.254	7.01	0.00298
SNAP29	Synaptosomal-associated protein 29;Synaptosomal-as	O95721;C9JAF7	-0.043	8	8.181	7.007	0
YTHDF2;YTHDF3;DKFZp451A052;DKFZp451J085	YTH domain family protein 2;YTH domain family prot	Q9Y5A9;B5BU99;F5H8I7;B4DPX9;Q7Z739;Q8N3V9;Q8NA80;Q658Z6;B3KTL8;Q9BYJ9;Q96MZ5;B4DT65;F8W840	0.875	5	7.746	7.006	0
GOT2	Aspartate aminotransferase;Aspartate aminotransfer	A8K482;P00505;B4DJA6;E7ERW2;B3KUZ8	-0.225	2	7.5	7.005	0
AP3M1;DKFZp586G1518	AP-3 complex subunit mu-1	Q9Y2T2;B4DRN6;Q8NDP0;P53677;E5RJ52;H0YBM0	0.116	3	7.707	7.003	0
BLMH	Bleomycin hydrolase	Q13867;B4DXF3;E7EMN3	-0.05	3	7.408	7.002	0
ATRIP	ATR-interacting protein	Q8WXE1;B4DU92;B5MEB7;C9IZM8;F8WE08	-0.366	3	7.914	6.988	0.00054
GSTP1	Glutathione S-transferase P	P09211;A8MX94;C7DJS1;C7DJS2;Q5D6A5	-0.386	2	7.663	6.988	0
CORO1C	Coronin-1C	A7MAP1;Q59EA2;A7MAP0;B3KN06;Q53G58;Q9ULV4;B4DMH3;B4E3S0;B7Z9V0;F8VVB7;F8VTT6;H0YHL7;F8VRE9;F8VSA4;F8VUX3;F8W1H8	-0.417	2	7.084	6.986	0
GLTSCR2	Glioma tumor suppressor candidate region gene 2 pr	B4E1N4;Q53YP0;Q9NZM5;Q96CS0;Q7L4X7;F8WDM9;B4DND9;B4E013;B4DVK1	-0.075	3	7.153	6.983	0
PLOD1	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"	B4DR87;B2R5M9;Q02809;B4DGN8;B4DHT1;E7EWK8;Q5JXB7;Q5JXB8;Q5JXB9	0.452	1	7.1	6.981	0
PRRC2A	Protein PRRC2A	P48634;C9JD87;C9JI26;C9JI93;C9JTL3;C9JXZ3;C9J1F6;C9J6L0;C9J9U2;C9JB33;C9JTM3;B4DZ56;E7EMA1;F8WFD4	0.587	7	7.371	6.976	0
MYL12B;MYL12A;MRLC3	Myosin regulatory light chain 12B;Myosin regulator	O14950;P19105;Q53HL1;Q53X45;P24844;Q6IBG1;Q71U02;Q2F834	-0.224	2	7.479	6.966	0
WDR75	WD repeat-containing protein 75	Q8IWA0;A8K330;F8WC81;F8WE20	0.486	3	7.445	6.963	0
CSTF2	Cleavage stimulation factor subunit 2	B3V096;E7EWR4;P33240;B4DUD5;E9PID8;Q9H0L4	0.24	3	7.586	6.957	0
TM9SF3;SMBP;RP11-34E5.1	Transmembrane 9 superfamily member 3	Q9HD45;Q96JZ5;Q8WUB5;Q5TB53;Q8NCC4;Q96K55;B4DN13	-0.792	24	8.89	6.957	0
NHP2L1	NHP2-like protein 1	B1AHD1;P55769;Q6FHM6	0.719	1	7.315	6.953	0
ALKBH5	Probable alpha-ketoglutarate-dependent dioxygenase	Q6P6C2;B4DVJ4;F5H6G2	0.275	3	7.521	6.95	0
DLAT	Dihydrolipoyllysine-residue acetyltransferase comp	P10515;Q86YI5;B4DJX1;E9PEJ4;H0YDD4;B4DS43;F5H7M3;Q01991;B4DLQ2	-0.303	2	6.987	6.95	0.00019
EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	H7BYW0;Q59GJ0;O43432;B4DH17;F5H564;Q504Z1;B4DZE1;F5H8J4;B1AN89;H0YGB3;B4DXR2	0.599	3	7.051	6.949	0
ERH	Enhancer of rudimentary homolog	P84090	-0.257	1	7.352	6.945	0.00013
SPATA18	Mitochondria-eating protein	Q8TC71;Q96M13;E7EVV3;D6RAX6;D6RAW7;D6RGI2	0.301	1	7.487	6.944	0.00348
EIF3M	Eukaryotic translation initiation factor 3 subunit	Q7L2H7;B4E2Q4;E9PN86;H0YCQ8;E9PRY0	0.734	3	7.787	6.933	0
DCTN4	Dynactin subunit 4	Q9UJW0;B4DL03;B4DS07;H9KVE0;E5RGG1;E5RI97	-0.702	2	7.33	6.931	0
UCHL1	Ubiquitin carboxyl-terminal hydrolase isozyme L1	D6R956;B2RD14;P09936;D6R974;A6NLJ7;D6RE83	-0.164	1	7.559	6.93	0
CUL1	Cullin-1	Q13616;B3KTW0;B4DLA3;E7EWR0;Q75MQ1;B3KU45	0.325	4	7.448	6.929	0
WDR61	WD repeat-containing protein 61	Q9GZS3;H0YN81;H0YMF9;B4E387;H0YL19;H3BQA8;H0YM76	0.392	2	7.557	6.927	0
MDH2	"Malate dehydrogenase, mitochondrial;Malate dehydro"	P40926;Q6FHZ0;Q75MT9;Q0QF37;G3XAL0;B4DE44;E9PDB2;B3KTM1	-0.769	3	7.274	6.924	0
DNAH2	"Dynein heavy chain 2, axonemal"	Q9P225	0.21	2	6.957	6.921	0.0667
SENP3	Sentrin-specific protease 3	Q9H4L4	0.359	2	7.191	6.919	0.00389
CWF19L1	CWF19-like protein 1	Q69YN2;D3DR67	0.252	3	7.578	6.918	0
RPL39;RPL39P5	60S ribosomal protein L39;Putative 60S ribosomal p	P62891;Q59GN2	0.21	2	7.547	6.918	0
C7orf50	Uncharacterized protein C7orf50	Q9BRJ6;C9JQV0;H7C2R9;H7C0T1	0.166	2	7.557	6.918	0
DKFZp686E2459;RBM10	RNA-binding protein 10	Q7Z3D7;P98175;A8K6Q4;P78332;E9PGM9;B3KSK6;Q86SS3;B4DNY1;Q6PKH5	-0.136	4	7.363	6.917	0
PRMT1;HRMT1L2	Protein arginine N-methyltransferase 1	H7C2I1;Q99873;B4E3C3;G5E9B6;Q8WUW5;Q5U8W9;E9PKG1;B4DJ87;E9PIX6;H0YDE4;E9PQ98;E9PNR9;Q9NR22;Q59GT2;E9PI83;E9PMW9;E9PMZ2	0.26	2	7.611	6.915	0
SCAMP3	Secretory carrier-associated membrane protein 3	O14828;Q6FHJ5	-0.167	20	9.153	6.914	0
CPD	Carboxypeptidase D	O75976;B7Z7T9;B7ZAU4;F5GZH6;B7Z843	-0.507	46	8.593	6.914	0
CCDC93	Coiled-coil domain-containing protein 93	Q567U6;F8W9X7;H7C050	0.093	4	7.57	6.908	0
ANXA5	Annexin A5;Annexin	P08758;D6RBL5;D6RBE9;E7ENQ5;E9PHT9;B4DNG6;D6RCN3	0.384	4	7.791	6.907	0
RAB2A	Ras-related protein Rab-2A	P61019;F5H399;E9PKL7;O75546;H7C125;H0YD31;E9PE37;Q6PIK3;H0YDL5;Q9UL31	-0.077	8	8.586	6.907	0
RAVER1	Ribonucleoprotein PTB-binding 1	E9PAU2;Q8IY67	0.774	2	7.33	6.905	0
ATP6V0D1	V-type proton ATPase subunit d 1	B7Z6L9;F5GYQ1;B2R7M1;P61421;F8WEN9;B7Z788;H3BQJ1	-0.744	5	8.354	6.904	0
EXOSC6	Exosome complex component MTR3	Q5RKV6	0.081	1	7.167	6.903	1.00E-05
AP1B1		F8WDL0;Q86X54	-0.728	1	7.084	6.903	0
DNAJA2	DnaJ homolog subfamily A member 2	O60884;H3BMW5	0.316	4	8.016	6.892	0
TXNDC5;DKFZp666I134;STRF8	Thioredoxin domain-containing protein 5	Q8NBS9;Q658S9;Q6EHZ3;Q86UY0;B2RDM2	-0.061	5	7.646	6.89	0
EIF3K	Eukaryotic translation initiation factor 3 subunit	Q9UBQ5;B4DVD7;B7ZAM9	0.466	1	7.265	6.883	0
GNAI3;GNAI2;GNAI1;GNAO1	Guanine nucleotide-binding protein G(k) subunit al	P08754;Q5TZX1;F5H4U5;P04899;P63096;B3KP89;P09471;Q96C71;B3KTZ0;B3KX51;B4E2X5;B4E2V1;Q8N6I9;B3KP24;F5GZL8;Q93020;A8K1Y9;P38405;A8MTJ3;P19087;Q5T697;Q8N2B4;P11488;H0Y7F4;Q5JWE8;Q5JWE9;Q6LCB5;C9JPP4;Q6AWC5;H3BTM2;H0Y7E8;Q5JW64;Q5JWD1;A2A2R6	-0.178	7	8.337	6.883	0
RAB14	Ras-related protein Rab-14	P61106	-0.107	10	8.565	6.882	0
PRPSAP2	Phosphoribosyl pyrophosphate synthase-associated p	B2R7R5;O60256;B7ZKZ1;E7EPA1;C9K0K7;C9JJS3;C9JDU5;B4E1M8;E7EMY2;B4E329;E7EW35;C9JDH0;I3L0S1;I3L164;I3L331;I3L4G9	-0.663	1	7.087	6.879	0
EEF1B2;LOC392793	Elongation factor 1-beta	P24534;A4D1M6;C9JZW3;F2Z2G2;F8WF65	-0.203	2	7.375	6.874	0
HNRPLL	Heterogeneous nuclear ribonucleoprotein L-like	D6W592;Q8WVV9;A8K894;C9J9G0;B7WPG3;Q5JB52;H7C464;C9IYN3;H7BXH8;C9JJZ7;H7C0J6	0.574	2	7.254	6.873	0
FAM40A;FAM40B	Protein FAM40A;Protein FAM40B	A8K4U4;Q5VSL9;A4D1K4;A8K2A0;Q9ULQ0;Q8WUN4	-1.282	3	7.039	6.871	0
NME1	Nucleoside diphosphate kinase A	P15531	-0.288	1	7.42	6.859	0
CSNK1A1;CSNK1A1L	Casein kinase I isoform alpha;Casein kinase I isof	P48729;Q71TU5;B4DER9;E7ETM0;Q6PJ06;D6REM4;Q05DL3;B4E1D9;B4DFH4;Q8N752;H0Y9X2	0.272	1	7.212	6.852	0
CUL2	Cullin-2	B7Z6K8;G3V1S2;Q13617;Q5T2B5;B7Z1Y1;Q5T2B7;Q5T2B4	-0.179	3	7.187	6.851	0
CELF1	CUGBP Elav-like family member 1	G5EA30;Q92879;F8W940;B4E2U5;E9PKU1;F5H0D8;E9PSH0;E9PQK4;F5H4Y5;E9PC62;B4DS31;B2RA86;O95319;Q5VZZ6;B4DDE7;B4DT00;B4DSZ2;E9PKA1	0.599	3	7.526	6.849	0
MTOR	Serine/threonine-protein kinase mTOR	P42345;F5GYA6;B4E2H2;B4DZD5;Q96QW8;B1AKP8;B3KX59	-0.011	10	7.64	6.846	0
DNAJC7	DnaJ homolog subfamily C member 7	Q99615;A8K4T2;Q59EH7;B7Z9W6;Q7Z784	-0.136	3	7.534	6.845	0
LMAN2	Vesicular integral-membrane protein VIP36	A8K7T4;Q12907;B4DWN1;D6RBV2;D6RIU4;D6RDX1;D6RBH1	-0.74	6	8.367	6.838	0
DNAJA1;HDJ2	DnaJ homolog subfamily A member 1	P31689;Q5T7Q0;Q86TL9;Q9NXZ8;F5GZ88;B7Z5C0	0.498	1	7.418	6.837	0
C1orf106	Uncharacterized protein C1orf106	Q3KP66;B4E1K9;E9PFY0;C9JAT8	0.443	1	7.293	6.837	0.00025
KRR1	KRR1 small subunit processome component homolog	Q13601;B4DMS5	0.313	4	7.717	6.831	0
TK1	"Thymidine kinase;Thymidine kinase, cytosolic"	B5BU32;B5BUF9;P04183	-0.008	2	7.33	6.83	0
RAB13;hCG_1996054	Ras-related protein Rab-13	Q504R6;P51153;D3DV69	-0.309	3	7.737	6.83	0
VPS35;DKFZp686O2462	Vacuolar protein sorting-associated protein 35	Q96QK1;Q53FR4;F5GYF5;Q5HYM2;I3L4P4;I3L4S0	-0.152	15	8.436	6.829	0
GLT25D1	Procollagen galactosyltransferase 1	Q8NBJ5;Q9H6F1;E9PC06;Q8WUI9;Q6IPW8;B3KQ10	0.044	3	7.103	6.823	0
HCFC1	Host cell factor 1;HCF N-terminal chain 1;HCF N-te	A6NEM2;P51610;Q05C05;Q53FE7;Q9Y5Z7;H7C1C4;B4DKE2	1.077	3	7.397	6.814	0
GAR1	H/ACA ribonucleoprotein complex subunit 1	Q9NY12	0.437	1	7.375	6.812	0.00023
ATP11C	Probable phospholipid-transporting ATPase IG	Q8NB49;H7C0E8;H7C4W6;B4E3T1;B3KSJ2;E7EMP5;H0Y8F0;Q659C3	-0.766	11	8.069	6.809	0
LSM3	U6 snRNA-associated Sm-like protein LSm3	B2R5H5;P62310	0.135	2	7.416	6.806	0
RALA	Ras-related protein Ral-A	P11233;H7C3P7;B4E040;Q6ZS74;P11234;C9JQB3;C9J6B1;C9JYR1;C9JPE8;F8WEQ6	-0.445	3	7.959	6.799	0
TIAL1;TIA1	Nucleolysin TIAR;Nucleolysin TIA-1 isoform p40	A8K5C4;Q01085;Q2TSD2;O15187;Q49AS9;Q59G49;B4DHS3;Q59G98;H0YGW6;P31483;F8W8I6;C9JTN7;E7ETJ9;Q96B58;E5RG67;H7BY49;E5RGV5;E7ETC0;F8WE16;B4E0E5;A6NKZ9	0.288	3	7.635	6.795	0
PPP1CB	Serine/threonine-protein phosphatase PP1-beta cata	P62140;C9JP48;C9J9S3	0.288	1	7.217	6.79	0
RTN3	Reticulon-3	B7Z8W8;O95197;B7Z3E3;F5H774;B7Z361	-0.906	2	8.463	6.786	0
LBR	Lamin-B receptor	Q14739;C9JXK0	-0.904	2	7.44	6.784	0
THOC5	THO complex subunit 5 homolog	Q13769;F8WCP5;C9JXG5;H7C441;C9JCL9;F5GZF3;C9JXU6;H7C072	0.22	2	7.463	6.781	0
BMS1	Ribosome biogenesis protein BMS1 homolog	Q14692	0.036	2	7.131	6.776	0
PIG59;GLUL;PIG43	Glutamine synthetase	A8YXX4;P15104;A1L199;E7ESR6;Q2TU80;Q9NSP3	-0.216	2	7.519	6.772	0
DPYSL5	Dihydropyrimidinase-related protein 5	Q9BPU6;Q53SW3	-0.201	1	6.974	6.765	0.00071
WASF2	Wiskott-Aldrich syndrome protein family member 2	Q9Y6W5;B4E3J5;Q8NBU0;Q05BU7	0.208	1	6.816	6.764	0
PRPS2	Ribose-phosphate pyrophosphokinase 2;Ribose-phosph	P11908;B2R860;H7C540;H7C518;D3YTJ7	0.511	2	7.531	6.757	0
ARHGEF2	Rho guanine nucleotide exchange factor 2	D3DVA5;Q5VY93;Q92974;B7Z977;B4DJ49;F5H3H5	0.385	4	7.176	6.757	0
FLOT1	Flotillin-1	O75955;Q53HQ0;Q5ST80;Q6IB58;B4DVY7;B0V109;F8VSI6;A2VCL5;A2AB09;B0V111;B0S8A9;A2AB10;A2AB12;B0S8B0;B0V2I8;A2AB11;A2AB13;B0V110;B0V112;A2ABJ5;H0Y4S3;B0V0H2;B0V108	-0.013	3	7.435	6.752	0
VAMP3;VAMP2	Vesicle-associated membrane protein 3;Vesicle-asso	Q15836;Q6FGG2;Q9BRV4;F8WCA0;P63027;B4DJY5;B4DZX9;A8K0D3;P23763;F5GZV7;F5H787	-0.4	4	8.497	6.748	0
LRRC59	Leucine-rich repeat-containing protein 59	Q96AG4	-0.295	3	7.642	6.746	0
PDIA3	Thioredoxin	H7BZJ3	-0.243	1	7.761	6.745	0
SNRPE	Small nuclear ribonucleoprotein E	P62304	0.044	3	7.518	6.741	0
TALDO1	Transaldolase	P37837;F2Z393	-0.567	3	7.434	6.735	0
SH3GLB1	Endophilin-B1	Q9Y371;B4E182	1.338	6	8.376	6.733	0
ZC3H14	Zinc finger CCCH domain-containing protein 14	Q6PJT7;B4E2H4;G3V5R4;H9KV94;F8W9T2;H0YJA2;G3V256;B4DZW7;F8W848;B4DXU8;G3V5I6;G3V3Y4;H0YJ87	0.209	2	6.993	6.73	0
TROVE2	60 kDa SS-A/Ro ribonucleoprotein	P10155;Q5LJ99;Q86WL3;Q5LJA0;Q5LJ98;Q86WL4;Q5LJ97;H0Y9N5	1.39	1	6.947	6.728	0
PNO1	RNA-binding protein PNO1	B2R823;Q9NRX1;F8WBJ6	0.482	2	7.412	6.728	0
TH1L	Negative elongation factor C/D	H0UI80;Q8IXH7	0.307	2	6.981	6.727	1.00E-05
		A8K6Q8	-0.508	2	8.004	6.724	0
UBIAD1	UbiA prenyltransferase domain-containing protein 1	Q9Y5Z9	0.033	2	7.447	6.723	0
PURA	Transcriptional activator protein Pur-alpha	Q00577;Q56A79;Q5U0P9;Q2NLC9;Q2NLD4	0.52	2	7.395	6.719	0
POLR2E	"DNA-directed RNA polymerases I, II, and III subuni"	E5KT65;P19388;B4DJ89	0.232	2	7.501	6.717	0.00045
SARNP;CIP29	SAP domain-containing ribonucleoprotein	H0YHG0;P82979;Q567R9;F8VZQ9;A4D286	0.115	2	7.464	6.715	0
NUMA1		Q59HB8;Q7Z757;F5H2L0;H0YFY6;Q96HN5;H0YH75	0.453	1	6.983	6.713	0
TRAPPC1	Trafficking protein particle complex subunit 1	B2RA50;Q9Y5R8;I3L3S0;I3L3V5	0.188	3	7.698	6.713	1.00E-05
ARF3;ARF1	ADP-ribosylation factor 3;ADP-ribosylation factor 	P61204;P84077;F5H3A6;B4E190;B7ZB63;F5H423;B4DEB9;B4DN70;B4DJC8;F5H0C7;H0YGG7;F8WDB3;F8WCJ5;F5H6T5;F5H1V1	0.009	3	7.834	6.708	0
GBF1	Golgi-specific brefeldin A-resistance guanine nucl	Q92538;Q149P0;Q149P1;Q05BW6	-0.562	8	7.556	6.708	0
UBAP1L	Ubiquitin-associated protein 1-like	F5GYI3	0.063	5	8.746	6.703	0
AKR1B1	Aldose reductase	P15121;E9PCX2;Q59EL5;E9PEF9;A4D1P0;C9JRZ8	0.274	2	7.492	6.7	1.00E-05
RAB21	Ras-related protein Rab-21	Q9UL25	-0.826	1	7.389	6.7	0
CUL3	Cullin-3	Q13618;Q53S54;B7Z600;H7C1L6	-0.016	1	6.826	6.681	0
DAGLB	Sn1-specific diacylglycerol lipase beta	Q8NCG7;E7ET49;B4DQQ6;B3KR38;B3KRA0;E7EVQ4;B4DVH8;B4DVJ1;C9JA85;F8WBN0	0.049	63	9.839	6.678	0
